iter	Logloss
0	0.4616082031
1	0.411250217
2	0.4011826389
3	0.395302908
4	0.3927777344
5	0.3889052083
6	0.3876032552
7	0.387102908
8	0.3864920573
9	0.3859549479
10	0.3853638889
11	0.384912934
12	0.3847694444
13	0.3843887587
14	0.3838803819
15	0.3837100694
16	0.3834025608
17	0.3832104167
18	0.3829422743
19	0.3824415799
20	0.3820506944
21	0.3819582031
22	0.3816946181
23	0.3813394531
24	0.3809901476
25	0.3807833333
26	0.3805115017
27	0.3803072483
28	0.3800550781
29	0.3800276042
30	0.3798621094
31	0.3796828993
32	0.3795529948
33	0.3794085938
34	0.3791333767
35	0.3789927083
36	0.3789666667
37	0.378758724
38	0.3784152778
39	0.3782536458
40	0.378191276
41	0.378099349
42	0.3778555556
43	0.3776855903
44	0.3774126302
45	0.3771473958
46	0.3769618056
47	0.3766782552
48	0.376553776
49	0.3764920573
