iter	Passed	Remaining
0	14	704
1	31	745
2	45	715
3	59	688
4	74	666
5	88	646
6	102	627
7	116	609
8	130	592
9	144	576
10	158	560
11	171	543
12	185	528
13	199	513
14	213	497
15	227	482
16	241	468
17	255	453
18	269	440
19	283	425
20	297	411
21	311	396
22	325	381
23	339	367
24	353	353
25	367	339
26	381	324
27	395	310
28	409	296
29	422	281
30	436	267
31	450	253
32	464	239
33	478	225
34	492	211
35	506	197
36	520	182
37	534	168
38	548	154
39	562	140
40	576	126
41	590	112
42	603	98
43	617	84
44	631	70
45	645	56
46	659	42
47	673	28
48	687	14
49	701	0
